event_id,start_year,end_year,date_display,era,event_name,event_kind,region_culture,location,peoples_factions,named_figures,historical_summary,possible_gameplay_hooks,likely_household_effects,severity_1_to_5,date_precision,canon_status,source_url_1,source_url_2,research_notes,event_category,game_scope,affected_systems,implementation_priority,research_confidence,research_pass
GENS-HIST-0108,40,44,AD 40–44,Early Principate,Mauretania annexed and reorganized,Administration / War,Numidian / Mauri,Mauretania,Rome; Mauretanian kingdom,Ptolemy of Mauretania; Claudius,"After King Ptolemy's death, Rome annexed Mauretania and established colonies and provincial administration.",Provincial transition; revolt risk; veteran colonies.,Land; taxes; trade,4,range,repo_authored,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-content.md,https://82nd-and-fifth.metmuseum.org/toah/ht/05/afw.html,,Conflict & Security,Local / Regional,Economy & Finance; Military & Security; Settlement & Demographics; Construction & Estates,High,High,repo
GENS-HIST-0109,41,41,AD 41,Early Principate,Caligula assassinated; Claudius succeeds,Imperial Succession / Assassination,Roman,Rome,Praetorian Guard; Senate; imperial family,Caligula; Claudius,Caligula was assassinated and Claudius was acclaimed emperor.,Guard politics; senatorial uncertainty; new imperial patronage.,Stability; offices; political loyalty,5,exact,repo_authored,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-content.md,,,Politics & Government,Imperial / Urban,Politics & Patronage,Critical,High,repo
GENS-HIST-0110,41,42,AD 41–42,Early Principate,Grain scarcity and famine pressure early in Claudius's reign,Economy / Famine,Roman,Rome,Urban populace; grain merchants; imperial government,Claudius,"Rome experienced serious grain scarcity in the early Claudian period, one of several first-century shortages recorded under his reign.",Food queues; rationing; merchant accusations; emergency import; household substitution diets.,Food prices; public order; health; shipping,5,approximate_range,research_addition,https://www.cambridge.org/core/journals/harvard-theological-review/article/universal-famine-under-claudius/C8361B61A9ACCB99ED4312906938955D,https://penelope.uchicago.edu/Thayer/E/Roman/Texts/Suetonius/12Caesars/Claudius%2A.html,,Economy & Trade,Imperial / Urban,Economy & Finance; Disease & Public Health; Travel & Trade Routes,Critical,High,v3
GENS-HIST-0111,42,64,AD 42–64,Early Principate,Construction and opening of Claudius's harbor at Portus,Infrastructure / Trade,Roman / Italian,Portus and Ostia,Imperial administration; shippers; merchants; dock labor,Claudius; Nero,"Claudius began a major new harbor near Ostia in AD 42; it was completed and dedicated under Nero, transforming Rome's maritime supply system.",Port construction contracts; shipping expansion; warehouse investment; merchant migration; grain logistics.,Trade volume; shipping risk; employment; urban growth; grain supply,4,range,research_addition,https://www.worldhistory.org/Ostia/,,,Economy & Trade,Regional,Economy & Finance; Military & Security; Settlement & Demographics; Travel & Trade Routes; Construction & Estates,High,High,v2
GENS-HIST-0112,43,43,AD 43,Early Principate,Roman invasion of Britain begins,War / Expansion,British,Southern Britain,Rome; British kingdoms,Claudius; Aulus Plautius,Claudius launched the conquest of Britain.,Military supply; new provincial opportunities; local resistance.,Trade; recruitment; land; security,5,exact,repo_authored,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-content.md,https://82nd-and-fifth.metmuseum.org/toah/ht/05/euw.html,,Conflict & Security,Regional,Economy & Finance; Military & Security; Settlement & Demographics; Travel & Trade Routes; Construction & Estates,Critical,High,repo
GENS-HIST-0113,46,46,AD 46,Early Principate,Claudius grants freedom to sick slaves abandoned by their owners,Law / Manumission,Roman,Empire-wide Roman-law households,Slaveholders; sick enslaved people; medical caregivers,Claudius,"Claudius ruled that enslaved people abandoned while seriously ill rather than cared for could receive freedom, limiting an owner's ability to discard sick dependents without consequence.",Sick slave abandoned or treated; caregiver intervenes; ownership claim lost after recovery.,Slavery; health care; property; household ethics,5,exact,research_addition,https://www.cambridge.org/core/books/abs/junian-latinity-in-the-roman-empire-volume-1/appendix-list-of-legal-enactments-with-key-sources/50C7B9951C76DC71D74C406B0C54EF31,,,Law & Legal Status,Imperial,Legal & Court; Disease & Public Health; Construction & Estates,Critical,High,v5
GENS-HIST-0114,46,46,AD 46,Early Principate,Thrace annexed as a Roman province,Administration / Expansion,Thracian,Thrace,Rome; Thracian client kingdom,Claudius,Rome converted Thrace from client rule to direct provincial administration.,Tax/legal change; roads; elite transition.,Tax; trade; offices,3,exact,repo_authored,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-content.md,https://82nd-and-fifth.metmuseum.org/toah/ht/05/eusb.html,,Politics & Government,Local / Regional,Politics & Patronage; Economy & Finance; Legal & Court; Travel & Trade Routes,Medium,High,repo
GENS-HIST-0115,47,47,AD 47,Early Principate,Claudius celebrates the Secular Games,Religion / Festival,Roman,Rome,Roman state cult; urban populace,Claudius,Claudius staged Secular Games tied to Rome's traditional anniversary chronology.,Rare festival; games attendance; sacrifices; lodging and vendor boom.,Piety; commerce; public mood; prestige,3,exact,research_addition,https://en.wikisource.org/wiki/1911_Encyclop%C3%A6dia_Britannica/Secular_Games,,,Religion & Culture,Imperial / Urban,Economy & Finance; Religion; Culture & Education,Medium,High,v3
GENS-HIST-0116,47,50,c. AD 47–50,Early Principate,Londinium emerges as a Roman commercial settlement,Settlement / Trade Hub,British / Roman,Londinium,Roman merchants; army suppliers; British communities,,"Within years of the conquest, Londinium developed into a major crossing, trade, and administrative center.",New shop or warehouse; migration; land speculation; army-supply trade.,Property; trade; migration; travel,4,approximate_range,research_addition,https://www.londonmuseum.org.uk/collections/london-stories/timeline-roman-london-londinium/,,,Economy & Trade,Regional,Economy & Finance; Legal & Court; Military & Security; Settlement & Demographics; Travel & Trade Routes; Construction & Estates,High,High,v3
GENS-HIST-0117,48,48,AD 48,Early Principate,Claudius backs admission of leading Gauls to the Roman Senate,Law / Political Inclusion,Gallic / Roman,Rome and Lugdunum,Gallic provincial elites; Senate,Claudius,Claudius argued successfully for qualified elites from Gallia Comata to gain access to Roman senatorial rank and office.,Provincial noble seeks Senate career; elite backlash; citizenship/status prestige jump.,Politics; offices; status; patronage,4,exact,research_addition,https://www.cambridge.org/core/books/tabula-lugdunensis/D8B52AC694F5725975D6953C471DC6A3,,,Politics & Government,Imperial / Urban,Politics & Patronage; Legal & Court,High,High,v4
GENS-HIST-0118,48,48,AD 48,Early Principate,Messalina executed after marriage scandal with Silius,Dynastic / Court Crisis,Roman,Rome,Imperial household; Senate; Praetorian officials,Messalina; Claudius; Gaius Silius; Narcissus,Empress Messalina's public relationship and purported marriage with Silius ended in arrests and her execution.,Court patron falls; household associated with faction investigated; confiscations; succession rumors.,Politics; patronage; property; dynasty,4,exact,research_addition,https://www.perseus.tufts.edu/hopper/text?doc=Tac.+Ann.+11.26,,,Politics & Government,Imperial / Urban,Politics & Patronage; Legal & Court; Construction & Estates,High,Medium,v4
GENS-HIST-0119,49,49,c. AD 49,Early Principate,Camulodunum established as a Roman colonia,Colony / Veteran Settlement,British / Roman,Camulodunum (Colchester),Roman veterans; Trinovantes and neighboring Britons,Claudius,The former legionary base at Camulodunum became a veteran colonia and center of Roman civic and imperial-cult presence in conquered Britain.,Veterans receive confiscated land; local resentment; imperial-cult office; new urban property market.,Land; migration; local politics; prestige,4,approximate,research_addition,https://www.cambridge.org/core/journals/britannia/article/intramural-human-remains-from-roman-towns-in-britain-a-case-study-from-late-iron-age-and-roman-silchester/1D4554B4C06650C61EDC1032279F4175,,,Infrastructure & Settlement,Regional,Politics & Patronage; Economy & Finance; Legal & Court; Religion; Settlement & Demographics; Construction & Estates,High,High,v5
GENS-HIST-0120,49,49,c. AD 49 (date disputed),Early Principate,Claudius expels or restricts Jews at Rome amid disturbances,Religion / Urban Policy,Roman / Jewish,Rome,Roman authorities; Jewish communities,Claudius,Suetonius reports that Claudius expelled Jews from Rome because of repeated disturbances associated with 'Chrestus'; modern dating and interpretation remain disputed.,Household expulsion order; tenant disappearance; confiscated lease; diaspora migration; religious-network disruption.,Population; property; piety; urban commerce,4,approximate,research_addition,https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Aabo%3Aphi%2C1348%2C015%3A25,https://doi.org/10.1017/9781107280489.016,AD 49 is commonly proposed but not secure; retain explicit disputed-date labeling.,Religion & Culture,Imperial / Urban,Economy & Finance; Legal & Court; Religion; Settlement & Demographics; Construction & Estates,High,Medium,v3
GENS-HIST-0121,51,51,c. AD 51,Early Principate,Renewed grain shortage in Rome,Economy / Grain Crisis,Roman,Rome,Urban populace; grain merchants; imperial government,Claudius,Sources indicate another serious food shortage late in Claudius's reign; Suetonius describes the emperor being mobbed over grain scarcity.,Mob pressure; warehouse search; emergency shipping incentives; bread ration.,Food prices; public order; trade; household reserves,5,approximate,research_addition,https://www.cambridge.org/core/journals/harvard-theological-review/article/universal-famine-under-claudius/C8361B61A9ACCB99ED4312906938955D,https://penelope.uchicago.edu/Thayer/E/Roman/Texts/Suetonius/12Caesars/Claudius%2A.html,,Economy & Trade,Imperial / Urban,Economy & Finance; Military & Security; Travel & Trade Routes,Critical,High,v3
GENS-HIST-0122,52,52,AD 52,Early Principate,Aqua Claudia and Anio Novus aqueducts completed,Infrastructure / Water,Roman,Rome,Imperial administration; urban households; bath and fountain operators,Claudius,"Two major aqueduct systems begun under Caligula were completed under Claudius, substantially increasing Rome's water supply.",Water connection; construction completion; new baths/gardens; property-value shift.,Water access; property; public health; urban growth,4,exact,research_addition,https://pmc.ncbi.nlm.nih.gov/articles/PMC7004096/,,,Infrastructure & Settlement,Imperial / Urban,Legal & Court; Disease & Public Health; Settlement & Demographics; Construction & Estates,High,High,v3
GENS-HIST-0123,52,52,AD 52,Early Principate,Fucine Lake drainage tunnel inaugurated with staged naval spectacle,Infrastructure / Engineering,Italian,Lake Fucinus,Imperial engineers; local landowners; laborers; spectators,Claudius,"Claudius inaugurated a massive drainage tunnel intended to reclaim land around Lake Fucinus, accompanied by a famous staged naval combat.",Land reclamation speculation; engineering failure/repair; labor contracts; festival spectacle.,Agriculture; land values; labor; prestige,4,exact,research_addition,https://penelope.uchicago.edu/Thayer/E/Roman/Texts/Suetonius/12Caesars/Claudius%2A.html,,,Infrastructure & Settlement,Regional,Religion; Settlement & Demographics; Construction & Estates; Culture & Education,High,High,v3
GENS-HIST-0124,52,52,AD 52,Early Principate,Senatus Consultum Claudianum alters status consequences of free women living with slaves,Law / Status & Slavery,Roman,Empire-wide Roman-law households,Free women; enslaved men; slaveowners; children,Claudius,The SC Claudianum imposed severe legal consequences on certain free women who persisted in unions with enslaved men against the owner's wishes and could also affect the status of children.,Forbidden household relationship; owner issues warning; woman risks status/property; child's legal status contested.,Marriage; slavery; children; legal status; property,5,exact,research_addition,https://www.cambridge.org/core/books/abs/familia-caesaris/senatusconsultum-claudianum-and-the-familia-caesaris/262350ED89800A542B3025892E60B194,,,Law & Legal Status,Imperial,Legal & Court; Military & Security; Construction & Estates,Critical,High,v5
GENS-HIST-0125,54,54,AD 54,Early Principate,Nero succeeds Claudius,Imperial Succession,Roman,Rome,Julio-Claudian regime,Nero; Claudius; Agrippina,Nero became emperor after Claudius's death.,Court patronage shift; succession rumors.,Stability; political standing,4,exact,repo_authored,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-content.md,,,Politics & Government,Imperial / Urban,Politics & Patronage; Legal & Court,High,High,repo
GENS-HIST-0126,55,55,AD 55,Early Principate,Britannicus dies during Nero's reign,Dynastic Death / Court Politics,Roman,Rome,Julio-Claudian household,Britannicus; Nero; Agrippina,Claudius's biological son Britannicus died suddenly during a banquet early in Nero's reign; ancient sources accuse Nero of poisoning him.,Alternative heir removed; patron faction collapses; poison rumors; inheritance.,Dynasty; patronage; court safety,4,exact,research_addition,https://www.perseus.tufts.edu/hopper/text?doc=Tac.+Ann.+13.15,,"Ancient sources blame Nero, but modern certainty about poisoning is impossible; phrase causation cautiously.",Politics & Government,Imperial / Urban,Politics & Patronage; Legal & Court,High,High,v4
GENS-HIST-0127,58,58,AD 58,Early Principate,Nero reforms indirect-tax administration after public complaints,Economy / Tax Reform,Roman,Empire-wide,Tax farmers; merchants; soldiers; provincial courts,Nero,"Nero considered abolishing indirect taxes but instead ordered publication of tax rules, limits on stale claims, priority hearings against collectors, and reductions in some exactions and shipping burdens.",Tax schedule published; merchant challenges collector; old claim expires; ship becomes cheaper to operate.,Taxes; trade; courts; shipping; state finance,5,exact,research_addition,https://penelope.uchicago.edu/Thayer/E/Roman/Texts/Tacitus/Annals/13B%2A.html,,,Economy & Trade,Imperial,Politics & Patronage; Economy & Finance; Legal & Court; Travel & Trade Routes,Critical,High,v4
GENS-HIST-0128,58,63,AD 58–63,Early Principate,Roman–Parthian war over Armenia,War / Diplomacy,Armenian / Parthian,Armenia,Rome; Parthia; Armenia,Corbulo; Tiridates I; Nero,Rome and Parthia contested the Armenian succession before a negotiated settlement.,Eastern levies; diplomatic missions; client-ruler uncertainty.,Trade; security; diplomacy,4,range,research_addition,https://82nd-and-fifth.metmuseum.org/toah/ht/05/waa.html,https://resources.metmuseum.org/resources/metpublications/pdf/The_World_between_Empires_Art_and_Identity_in_the_Ancient_Middle_East.pdf,,Conflict & Security,Regional,Economy & Finance; Military & Security,High,High,v1
GENS-HIST-0129,58,64,c. AD 58–64,Early Principate,Great fire devastates Lugdunum; imperial aid follows,Natural Disaster / Urban Fire,Gallic / Roman,Lugdunum (Lyon),Urban residents; merchants; imperial treasury,Nero,"A catastrophic fire destroyed much of Lugdunum. Tacitus records Nero granting four million sesterces for recovery, though literary chronology creates uncertainty over whether the fire fell in 58/59 or closer to 64.",Urban property loss; imperial reconstruction grant; shop relocation; building-material shortage.,Property; commerce; construction; treasury,5,approximate_range,research_addition,https://www.cambridge.org/core/journals/harvard-theological-review/article/abs/irenaeus-mostly-prolegomena/8413BD540E391B0B5A262DC2EC9B3B95,,Seneca and Tacitus create a chronological problem; preserve a broad late-50s/early-60s date range.,Disaster & Public Health,Regional,Economy & Finance; Legal & Court; Settlement & Demographics; Construction & Estates,Critical,Medium,v5
GENS-HIST-0130,59,59,AD 59,Early Principate,Agrippina the Younger killed on Nero's orders,Dynastic Murder / Court Crisis,Roman,Campania,Imperial household; naval officers; court factions,Nero; Agrippina the Younger,"After a failed staged shipwreck, Nero's mother Agrippina was killed by agents, radically altering court politics.",Powerful patron dies; clients purge or realign; court rumor; property inheritance.,Patronage; dynasty; politics; property,5,exact,research_addition,https://www.perseus.tufts.edu/hopper/text?doc=Tac.+Ann.+14.3,,,Politics & Government,Regional,Politics & Patronage; Legal & Court; Construction & Estates,Critical,High,v4
GENS-HIST-0131,60,60,AD 60,Early Principate,Laodicea rebuilds after an earthquake without imperial aid,Natural Disaster / Earthquake,Anatolian / Roman,Laodicea ad Lycum,Local civic elite; property owners; Roman provincial administration,,A major earthquake damaged Laodicea around AD 60; ancient testimony famously emphasizes that the wealthy city rebuilt using its own resources rather than imperial financial assistance.,City self-finances rebuilding; elite benefaction contest; taxes continue despite disaster; construction boom.,Property; construction; local prestige; taxes,4,exact,research_addition,https://www.perseus.tufts.edu/hopper/text?doc=Tac.+Ann.+14.27,,,Disaster & Public Health,Regional,Economy & Finance; Legal & Court; Construction & Estates; Culture & Education,High,High,v5
GENS-HIST-0132,60,61,AD 60–61,Early Principate,"Boudican rebels destroy Camulodunum, Londinium and Verulamium",War / Urban Destruction,British / Roman,"Camulodunum, Londinium and Verulamium",Boudican coalition; Roman settlers; merchants; local municipalities,Boudicca; Suetonius Paulinus,"The revolt destroyed three major Roman or Romanizing settlements, producing enormous civilian losses and a deep rupture in Britain's urban economy.",Town abandoned; shop and estate burned; refugee flight; inheritance without bodies; reconstruction grants.,Population; property; trade; security,5,range,research_addition,https://www.londonmuseum.org.uk/collections/london-stories/timeline-roman-london-londinium/,,Ancient casualty totals are unreliable; the destruction of the three settlements is the core trigger.,Conflict & Security,Regional,Economy & Finance; Legal & Court; Military & Security; Settlement & Demographics; Construction & Estates,Critical,High,v5
GENS-HIST-0133,60,61,AD 60–61,Early Principate,Boudican revolt,War / Revolt,British,Britannia,Rome; Iceni and allied Britons,Boudicca; Suetonius Paulinus,A major revolt destroyed Roman settlements before being defeated.,Estate destruction; refugee movement; militia; debt/abuse grievances.,Security; land; population; trade,5,range,repo_authored,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-content.md,https://82nd-and-fifth.metmuseum.org/toah/ht/05/euw.html,,Conflict & Security,Regional,Economy & Finance; Military & Security; Settlement & Demographics; Construction & Estates,Critical,High,repo
GENS-HIST-0134,62,62,AD 62,Early Principate,Pompeii earthquake,Natural Disaster,Italian,Campania,Local communities,,A major earthquake damaged Pompeii and neighboring Campanian towns years before Vesuvius.,Repair contracts; displaced tenants; omen interpretation.,Buildings; labor demand; prices,4,exact,research_addition,https://82nd-and-fifth.metmuseum.org/toah/ht/05/eust.html,,,Disaster & Public Health,Local / Regional,Economy & Finance; Construction & Estates,High,High,v1
GENS-HIST-0135,63,63,AD 63,Early Principate,Treaty of Rhandeia,Diplomacy,Armenian / Parthian,Armenia,Rome; Parthia; Armenia,Nero; Tiridates I; Corbulo,A settlement recognized a Parthian Arsacid prince in Armenia under a Roman-confirmed arrangement.,Diplomatic celebration; border calm; client politics.,Trade; security; prestige,3,exact,repo_authored,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-content.md,https://82nd-and-fifth.metmuseum.org/toah/ht/05/waa.html,,Diplomacy & Foreign Relations,Regional,Politics & Patronage; Economy & Finance; Military & Security,Medium,High,repo
GENS-HIST-0136,64,64,AD 64,Early Principate,Great Fire of Rome,Natural Disaster / Urban,Roman,Rome,Urban population,Nero,A massive fire devastated large areas of Rome.,Fire damage; refugees; rebuilding; price spikes; relief requests.,Housing; food; labor; public order,5,exact,repo_authored,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-content.md,https://82nd-and-fifth.metmuseum.org/toah/ht/05/eust.html,,Disaster & Public Health,Imperial / Urban,Economy & Finance; Settlement & Demographics; Construction & Estates,Critical,High,repo
GENS-HIST-0137,64,64,AD 64,Early Principate,Neronian persecution of Christians after the fire,Religion / Persecution,Roman / Early Christianity,Rome,Imperial authorities; Christians,Nero,Ancient sources associate Nero with punishment of Christians in Rome after the fire.,Religious concealment; denunciation; household conversion risk.,Piety; legal danger; social tension,4,exact,repo_authored,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-content.md,https://82nd-and-fifth.metmuseum.org/toah/ht/05/eust.html,,Religion & Culture,Imperial / Urban,Legal & Court; Religion,High,High,repo
GENS-HIST-0138,64,68,AD 64–68,Early Principate,Construction of Nero's Domus Aurea,Infrastructure / Court Culture,Roman,Rome,Imperial household; builders,Nero; Severus; Celer,Nero's vast Golden House complex rose on land cleared after the fire.,Luxury contracts; forced acquisition; elite resentment; art commissions.,Construction demand; property; prestige,3,range,repo_authored,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-content.md,https://82nd-and-fifth.metmuseum.org/toah/ht/05/eust.html,,Religion & Culture,Imperial / Urban,Politics & Patronage; Economy & Finance; Legal & Court; Religion; Construction & Estates; Culture & Education,Medium,High,repo
GENS-HIST-0139,65,65,AD 65,Early Principate,Pisonian conspiracy,Political Conspiracy,Roman,Rome,Conspirators; imperial court,Gaius Calpurnius Piso; Nero; Seneca,"A large conspiracy against Nero was exposed, triggering executions and forced suicides.",Informant/denunciation chain; patron loss; confiscations.,Political safety; property; patronage,4,exact,research_addition,https://82nd-and-fifth.metmuseum.org/toah/ht/05/eust.html,,,Politics & Government,Imperial / Urban,Politics & Patronage; Legal & Court; Construction & Estates,High,High,v1
GENS-HIST-0140,65,66,c. AD 65–66,Early Principate,Storm damage in Campania and severe plague in Rome,Natural Disaster / Epidemic,Italian / Roman,Campania and Rome,Urban and rural population; imperial administration,Nero,Tacitus records destructive storms in Campania and a severe epidemic in Rome that killed across social classes and prompted military replacement levies.,Crop loss; estate damage; funeral surge; labor shortage; emergency recruitment.,Health; agriculture; labor; recruitment; household mortality,5,approximate_range,research_addition,https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.02.0078%3Abook%3D16%3Achapter%3D13,,,Disaster & Public Health,Imperial / Urban,Religion; Military & Security; Disease & Public Health; Construction & Estates; Culture & Education,Critical,High,v4
GENS-HIST-0141,66,66,AD 66,Early Principate,Tiridates I crowned king of Armenia in Rome,Diplomacy / Client Kingship,Armenian / Parthian / Roman,Rome,Rome; Parthia; Armenia,Nero; Tiridates I,"The Armenian king Tiridates traveled to Rome and received his crown from Nero, ceremonially confirming the Rhandeia settlement.",Foreign royal visit; spectacle; diplomatic gifts; Armenian trade confidence.,Diplomacy; prestige; commerce; politics,4,exact,research_addition,https://resources.metmuseum.org/resources/metpublications/pdf/The_World_between_Empires_Art_and_Identity_in_the_Ancient_Middle_East.pdf,,,Diplomacy & Foreign Relations,Imperial / Urban,Politics & Patronage; Economy & Finance,High,High,v4
GENS-HIST-0142,66,73,AD 66–73,Early Principate,First Jewish–Roman War,War / Revolt,Judaean,Judaea,Rome; Jewish rebels,Vespasian; Titus; Josephus,A major revolt culminated in the fall of Jerusalem and later rebel strongholds.,Rebellion loyalty; refugee flow; requisitions; religious upheaval.,Security; taxes; population; piety,5,range,repo_authored,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-content.md,,,Conflict & Security,Regional,Politics & Patronage; Economy & Finance; Religion; Military & Security; Settlement & Demographics,Critical,High,repo
GENS-HIST-0143,68,68,AD 68,Early Principate,Revolt of Vindex and death of Nero,Revolt / Succession,Roman / Gallic,Gaul and Rome,Gallic legions; Nero regime,Vindex; Galba; Nero,Provincial revolt and military defection contributed to Nero's fall and suicide.,Regional allegiance; military mutiny; succession uncertainty.,Security; patronage; taxes,5,exact,research_addition,https://82nd-and-fifth.metmuseum.org/toah/ht/05/euw.html,https://82nd-and-fifth.metmuseum.org/toah/ht/05/eust.html,,Conflict & Security,Imperial / Urban,Politics & Patronage; Economy & Finance; Military & Security,Critical,High,v1
GENS-HIST-0144,68,69,AD 68–69,Early Principate,Year of the Four Emperors,Civil War / Succession,Roman,Empire-wide,Galba; Otho; Vitellius; Vespasian factions,Galba; Otho; Vitellius; Vespasian,Rapid imperial turnover and civil war ended with Vespasian's victory.,Legion allegiance; requisitions; patron churn; news shocks.,Security; taxes; patronage,5,range,repo_authored,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-content.md,https://82nd-and-fifth.metmuseum.org/toah/ht/05/eust.html,,Conflict & Security,Imperial,Politics & Patronage; Economy & Finance; Military & Security,Critical,High,repo
GENS-HIST-0145,69,69,AD 69,Early Principate,Cremona sacked after the Second Battle of Bedriacum,Civil War / Sack,Italian,Cremona,Flavian forces; Vitellian forces; civilian population,Antonius Primus; Vitellius,Flavian troops defeated the Vitellian army and sacked Cremona during the civil war.,Urban looting; refugee household; property destroyed; victorious soldiers sell booty.,Security; property; population; trade,5,exact,research_addition,https://82nd-and-fifth.metmuseum.org/toah/ht/05/eust.html,,,Conflict & Security,Regional,Economy & Finance; Legal & Court; Military & Security; Settlement & Demographics; Construction & Estates,Critical,High,v4
GENS-HIST-0146,69,70,AD 69–70,Early Principate,Batavian Revolt,War / Revolt,Batavian / Gallic,Lower Rhine,Rome; Batavians and allies,Civilis,Batavian and regional forces rebelled amid the civil war.,Frontier uprising; local collaboration; disrupted river trade.,Security; trade; recruitment,4,range,repo_authored,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-content.md,https://82nd-and-fifth.metmuseum.org/toah/ht/05/euw.html,,Conflict & Security,Regional,Economy & Finance; Military & Security; Construction & Estates,High,High,repo
GENS-HIST-0147,69,70,AD 69–70,Early Principate,Lex de imperio Vespasiani formalizes Vespasian's powers,Law / Imperial Constitution,Roman,Rome,Senate; Roman people; Flavian regime,Vespasian,A surviving bronze law records the conferral and confirmation of broad imperial powers and privileges on Vespasian after civil war.,Regime-legitimacy event; office recommendation; legal precedent; senatorial alignment.,Political legitimacy; offices; legal administration,4,range,research_addition,https://academic.oup.com/edited-volume/61673/chapter-abstract/550527909,,,Law & Legal Status,Imperial / Urban,Politics & Patronage; Legal & Court,High,High,v3
GENS-HIST-0148,70,70,AD 70,Early Principate,Fiscus Judaicus redirects the Jewish Temple tax to Jupiter Capitolinus,Economy / Religious Tax,Roman / Jewish,Empire-wide,Roman tax administration; Jewish communities,Vespasian,"After the destruction of the Jerusalem Temple, Vespasian redirected the former Temple contribution into a Roman tax payable to the temple of Jupiter Capitolinus.",New religious tax assessment; identity concealment; collection dispute; community assistance.,Taxes; piety; legal status; household cash flow,4,exact,research_addition,https://www.jewishencyclopedia.com/articles/6157-fiscus,,,Economy & Trade,Imperial,Economy & Finance; Legal & Court; Religion,High,High,v3
GENS-HIST-0149,70,70,AD 70,Early Principate,Jerusalem captured; Second Temple destroyed,War / Religion,Judaean,Jerusalem,Rome; Jewish rebels,Titus; Josephus,Roman forces captured Jerusalem and destroyed the Second Temple.,Refugees; religious crisis; war captives; tax changes.,Piety; population; trade; slavery,5,exact,repo_authored,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-content.md,https://82nd-and-fifth.metmuseum.org/toah/ht/05/eust.html,,Conflict & Security,Regional,Economy & Finance; Religion; Military & Security; Settlement & Demographics,Critical,High,repo
GENS-HIST-0150,71,74,AD 71–74,Early Principate,Eboracum legionary fortress founded,Fortress / Settlement,British / Roman,Eboracum (York),Legio IX Hispana; Brigantian region; civilian suppliers,Petillius Cerialis,"A permanent legionary fortress was established at the junction of the Ouse and Foss, creating the military nucleus of Roman York.",Army base creates civilian vicus; supply contract; land acquisition; new northern road traffic.,Military demand; trade; migration; property,4,range,research_addition,https://her.york.gov.uk/Monument/MYO2015,https://academic.oup.com/edited-volume/61673/chapter-abstract/548753909,,Infrastructure & Settlement,Regional,Economy & Finance; Legal & Court; Military & Security; Settlement & Demographics; Travel & Trade Routes; Construction & Estates,High,High,v5
GENS-HIST-0151,73,73,AD 73,Early Principate,Fall of Masada,War / Siege,Judaean,Masada,Rome; Sicarii holdouts,,The fall of Masada marked the end of a major holdout from the First Jewish–Roman War.,War-end transition; garrisoning; local memory.,Security; military presence,3,exact,research_addition,https://82nd-and-fifth.metmuseum.org/toah/ht/04/wae.html,,,Conflict & Security,Regional,Military & Security,Medium,High,v1
GENS-HIST-0152,73,74,AD 73–74,Early Principate,Vespasian extends Latin rights broadly in Hispania,Law / Civic Status,Iberian / Roman,Hispania,Hispanic communities; municipal elites,Vespasian,Vespasian's grant of Latin rights accelerated municipalization and pathways to Roman citizenship for local officeholders across Hispania.,Town status upgrade; office-holding grants citizenship; municipal charter transition.,Citizenship; offices; taxation; local government,5,approximate_range,research_addition,https://www.cambridge.org/core/books/abs/cambridge-ancient-history/flavians/AD65392FA441355AAB55A1B84565FF0E,,,Law & Legal Status,Regional,Politics & Patronage; Economy & Finance; Legal & Court; Culture & Education,Critical,Medium,v4
GENS-HIST-0153,75,75,c. AD 75,Early Principate,Temple of Peace dedicated in Rome,Infrastructure / Religion,Roman,Rome,Imperial administration; urban populace,Vespasian,"Vespasian dedicated the Temple of Peace complex, displaying spoils and artworks associated with the Flavian victory in Judaea.",Monument opening; art display; religious ceremony; visitor commerce.,Prestige; culture; piety; urban commerce,3,approximate,research_addition,https://82nd-and-fifth.metmuseum.org/toah/ht/05/eust.html,,,Religion & Culture,Imperial / Urban,Economy & Finance; Religion; Settlement & Demographics; Culture & Education,Medium,High,v4
