slug,name,canonical_family,entity_type,parent_slug,parent_resolution,parent_or_related,relationship_to_parent,presentation_level,adoption_scope,religious_relation_class,theology_model,integration_model,organization_scale,core_tenets,flavor_tags,mechanic_flags,implementation_mode,implementation_readiness,gens_priority,start_year,start_label,end_year,end_label,emergence_band,active_133_bc,active_ad_1,active_ad_235,active_ad_395,active_ad_476,active_ad_565,origin_region,core_regions_during_game,cultures_peoples,key_deities_or_figures,holy_sites_or_centers,authority_model,exclusivity,historical_confidence,attestation_class,historical_label_caution,classification,ck3_role,repo_status,catalog_scope,gameplay_hooks,historical_notes,source_repo,source_history_1,source_history_2,final_pass_status,final_pass_note
carpocratians,Carpocratians,Christian,Sect / heterodox movement,gnosticism-umbrella,Normalized alias match: Gnosticism,Gnosticism,Sect / contested branch of parent,Minor Sect / Event,Character/event affiliation; not default map faith,Internal dispute / may be condemned,Christian monotheism,Context-dependent,Teacher / sect network,,Gnostic; Esoteric; Antinomian-coded (source-biased),Religious controversy,Character/event doctrine layer,Research-limited — light mechanics,Tier 3 — Event/sect,120,2nd c. AD,250,Fades from sources,133 BC–AD 235,N,N,Y,N,N,N,Alexandria / Mediterranean,Urban eastern Mediterranean,Carpocratian groups,Carpocrates,No single holy site,Teacher-school network,Bounded school,Low–Medium,Thin / reconstructed,‘Heresy’ is a viewpoint-dependent gameplay label; preserve who condemned whom in event text.,Gnostic Christian school,Heresy / sect,New CK3-style expansion,Sect / schism / school,"Scandal accusations, secret teaching, heresiology",Hostile sources may exaggerate alleged libertine practices; flag carefully.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://en.wikipedia.org/wiki/Carpocrates,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
valentinianism,Valentinianism,Christian,Sect / heterodox movement,gnosticism-umbrella,Normalized alias match: Gnosticism,Gnosticism + Christianity,Sect / contested branch of parent,Minor Sect / Event,Character/event affiliation; not default map faith,Internal dispute / may be condemned,Christian monotheism,Exclusive / competitive,Teacher / sect network,,Gnostic; Esoteric; Christian; Sacramental,Religious controversy,Character/event doctrine layer,Ready for event/light content,Tier 3 — Event/sect,135,Valentinus active mid-2nd c. AD,400,Schools survive into late antiquity,133 BC–AD 235,N,N,Y,Y,N,N,Alexandria / Rome,Mediterranean Christian centers,Valentinian Christians,Valentinus and successors,Urban schools/churches,Teacher-school networks within/alongside churches,Exclusive Christian identity with esoteric tiers,High,Well attested,‘Heresy’ is a viewpoint-dependent gameplay label; preserve who condemned whom in event text.,Gnostic Christian school,Heresy / rival school,New CK3-style expansion,Sect / schism / school,"Elite theology, secret teaching, church infiltration/conflict",One of the most influential early Christian Gnostic movements.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://en.wikipedia.org/wiki/Valentinianism,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
marcionism,Marcionism,Christian,Sect / heterodox movement,early-christianity-jesus-movement,Normalized alias match: Early Christianity,Early Christianity,Sect / contested branch of parent,Organized Sect / Church,Character/community primary affiliation,Internal dispute / may be condemned,Christian monotheism,Exclusive / competitive,Transregional ecclesiastical hierarchy,Exclusive,Exclusive; Missionary; Dualist; Scriptural-Canon; Ascetic,Doctrine suppression; Mission/conversion; Religious controversy,Primary religion/community state,Ready for event/light content,Tier 3 — Event/sect,144,Marcion active at Rome around AD 140s,500,Communities survive for centuries in some regions,133 BC–AD 235,N,N,Y,Y,Y,N,Pontus / Rome,Mediterranean and Near East,Marcionite churches,Marcion of Sinope,Urban congregations; no single holy site,Parallel church hierarchy,Exclusive,High,Well attested,‘Heresy’ is a viewpoint-dependent gameplay label; preserve who condemned whom in event text.,Dualist/ditheist Christian movement,Heresy / rival church,New CK3-style expansion,Sect / schism / school,"Alternative canon, rival churches, bishop conflict",Not simply “Gnostic”; best treated as a distinct rival Christian church.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://en.wikipedia.org/wiki/Marcionism,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
encratites,Encratites,Christian,Sect / heterodox movement,early-christianity-jesus-movement,Normalized alias match: Early Christianity,Early Christianity,Sect / contested branch of parent,Minor Sect / Event,Character/event affiliation; not default map faith,Internal dispute / may be condemned,Christian monotheism,Exclusive / competitive,Teacher / sect network,Exclusive,Exclusive; Ascetic; Dietary-Strictness; Celibacy-coded,Doctrine suppression; Religious controversy,Character/event doctrine layer,Ready for event/light content,Tier 3 — Event/sect,160,2nd c. AD,400,Varied groups absorbed or suppressed,133 BC–AD 235,N,N,Y,Y,N,N,Syria / eastern Mediterranean,Eastern Christian communities,Ascetic Christians,Tatian often associated with Encratite tendencies,Distributed communities,Ascetic teachers,Exclusive Christian,Medium,Moderately attested,‘Heresy’ is a viewpoint-dependent gameplay label; preserve who condemned whom in event text.,Ascetic Christian movement,Heresy / ascetic sect,New CK3-style expansion,Sect / schism / school,"Marriage/food restrictions, ascetic prestige, household tension",Umbrella label for several rigorist groups rather than one institution.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://en.wikipedia.org/wiki/Encratites,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
montanism-new-prophecy,Montanism / New Prophecy,Christian,Sect / heterodox movement,early-christianity-jesus-movement,Normalized alias match: Early Christianity,Early Christianity / Great Church,Sect / contested branch of parent,Minor Sect / Event,Character/event affiliation; not default map faith,Internal dispute / may be condemned,Christian monotheism,Exclusive / competitive,Diffuse / decentralized,Exclusive,Exclusive; Prophetic; Ascetic; Apocalyptic; Charismatic,Doctrine suppression; Religious controversy,Character/event doctrine layer,Ready for event/light content,Tier 3 — Event/sect,165,Emerges in Phrygia c. AD 160s–170s,550,Survives in pockets into 6th c.,133 BC–AD 235,N,N,Y,Y,Y,N,Phrygia,"Anatolia, North Africa, parts of empire",Christian prophetic communities,"Montanus, Prisca/Priscilla, Maximilla",Phrygian prophetic centers,Prophets + local church structures,Exclusive Christian,High,Well attested,‘Heresy’ is a viewpoint-dependent gameplay label; preserve who condemned whom in event text.,Prophetic Christian movement,Heresy / rival church,New CK3-style expansion,Sect / schism / school,"Prophecy events, strict discipline, female prophets, bishop conflict",Long-lived enough to matter well beyond initial controversy.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://en.wikipedia.org/wiki/Montanism,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
bardaisanite-christianity,Bardaisanite Christianity,Christian,Sect / heterodox movement,proto-orthodox-great-church-christianity,Normalized alias match: Syriac Christianity,Syriac Christianity + philosophical/Gnostic milieu,Sect / contested branch of parent,Minor Sect / Event,Character/event affiliation; not default map faith,Internal dispute / may be condemned,Christian monotheism,Context-dependent,Teacher / sect network,,Christian; Philosophical; Astrological; Gnostic-adjacent,Religious controversy,Character/event doctrine layer,Ready for event/light content,Tier 3 — Event/sect,180,Bardaisan active late 2nd–early 3rd c.,400,"Influence persists, later absorbed/contested",133 BC–AD 235,N,N,Y,Y,N,N,Edessa,Syriac Mesopotamia,Syriac Christians,Bardaisan,Edessa,Teacher/court circle,Christian exclusivity,Medium–High,Moderately attested,Surviving evidence is limited or reconstruction is debated.,Syriac Christian school,Sect / heterodox school,New CK3-style expansion,Sect / schism / school,"Edessan court culture, astrology, Persian-Roman border",Useful local branch for Osrhoene/Mesopotamia.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://en.wikipedia.org/wiki/Bardaisan,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
adoptionism-theodotianism,Adoptionism / Theodotianism,Christian,Sect / heterodox movement,early-christianity-jesus-movement,Normalized alias match: Early Christianity,Early Christianity,Sect / contested branch of parent,Minor Sect / Event,Character/event affiliation; not default map faith,Internal dispute / may be condemned,Christian monotheism,Exclusive / competitive,Teacher / sect network,Exclusive,Exclusive; Christological; Rationalist-coded,Doctrine suppression; Religious controversy,Character/event doctrine layer,Ready for event/light content,Tier 3 — Event/sect,190,Theodotus of Byzantium active late 2nd c.,300,Later adoptionist ideas recur in other forms,133 BC–AD 235,N,N,Y,N,N,N,Rome,Urban Christian schools,Adoptionist Christians,Theodotus of Byzantium,Rome,Teacher/school networks,Exclusive Christian,High,Well attested,‘Heresy’ is a viewpoint-dependent gameplay label; preserve who condemned whom in event text.,Christological school,Heresy / theological school,New CK3-style expansion,Sect / schism / school,"Christology debate, bishop excommunication",Separate from later Paul of Samosata despite family resemblance.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://en.wikipedia.org/wiki/Adoptionism,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
modalism-sabellianism,Modalism / Sabellianism,Christian,Sect / heterodox movement,proto-orthodox-great-church-christianity,Christian chronology heuristic: Great Church milieu,Monarchian Christian theology,Sect / contested branch of parent,Minor Sect / Event,Character/event affiliation; not default map faith,Internal dispute / may be condemned,Christian monotheism,Exclusive / competitive,Teacher / sect network,Exclusive,Exclusive; Trinitarian-Debate; Monarchian,Doctrine suppression; Religious controversy,Character/event doctrine layer,Ready for event/light content,Tier 3 — Event/sect,200,Modalist controversies prominent early 3rd c.,350,Condemned but recurring ideas persist,133 BC–AD 235,N,N,Y,N,N,N,Rome / North Africa / eastern churches,Mediterranean Christian communities,Modalist Christians,Sabellius and other modalist teachers,Urban churches,Teacher/bishop factions,Exclusive Christian,High,Well attested,‘Heresy’ is a viewpoint-dependent gameplay label; preserve who condemned whom in event text.,Trinitarian theological school,Heresy / theological school,New CK3-style expansion,Sect / schism / school,"Trinity controversy, bishop alliances","Treat “Sabellianism” as one modalist form, not a universal label.",https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://en.wikipedia.org/wiki/Sabellianism,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
romano-british-christianity,Romano-British Christianity,Christian,Regional branch,nicene-christianity,Normalized alias match: Nicene Christianity,Great Church / Nicene Christianity,Regional expression / daughter tradition,Regional Faith,Household/community primary religion in supported regions,Competing-exclusive,Christian monotheism,Exclusive / competitive,Transregional ecclesiastical hierarchy,Exclusive; Charitable/Communal,Exclusive; Charitable/Communal; Episcopal,Doctrine suppression; Charity/communal policy; Mission/conversion,Primary religion/community state,Ready for content design,Tier 2 — Major regional,200,Christian communities securely present in Roman Britain by late antiquity,,Continues in post-Roman British polities beyond AD 565,133 BC–AD 235,N,N,Y,Y,Y,Y,Roman Britain,Britannia and post-Roman British kingdoms,Romano-British and Brittonic Christians,Local bishops; saints; British clergy; later Pelagian controversy,Major Roman towns and later British ecclesiastical centers,Bishops and local church networks,Exclusive,High,Well attested,,Regional provincial Christianity,Regional branch,Late Roman provincial conversion; Pelagian controversy; post-Roman continuity,Religion / branch,Important as the parent context for British Pelagianism and Irish/Pictish missions rather than treating Britain as either pagan or generic Mediterranean Christianity.,https://www.cambridge.org/core/books/abs/christ-in-celtic-christianity/epilogue/AB1EE2092BFA55908BA93FD211790E07,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-cultures-of-the-known-world-design.md,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-cultures-of-the-known-world-design.md,,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
origenism,Origenism,Christian,Sect / heterodox movement,proto-orthodox-great-church-christianity,Normalized alias match: Alexandrian Christianity,Alexandrian Christianity,Sect / contested branch of parent,Minor Sect / Event,Character/event affiliation; not default map faith,Internal dispute / may be condemned,Christian monotheism,Exclusive / competitive,Monastic network,Exclusive,Exclusive; Philosophical; Ascetic; Allegorical,Doctrine suppression; Monastic institutions; Religious controversy,Character/event doctrine layer,Ready for event/light content,Tier 3 — Event/sect,230,Origen’s theological school in 3rd c.; controversies intensify 4th–6th c.,553,Condemnations associated with 6th-c. imperial church politics,133 BC–AD 235,N,N,Y,Y,Y,N,Alexandria / Caesarea,Eastern Christian intellectual and monastic circles,Theologians/monks,Origen and later Origenist monks,Alexandria; Caesarea; Palestinian monasteries,Teacher/monastic networks,Exclusive Christian,High,Well attested,‘Heresy’ is a viewpoint-dependent gameplay label; preserve who condemned whom in event text.,Theological/philosophical school,Heresy label / school,Late-timeline extension,Sect / schism / school,"Education, monastic faction, Justinian-era controversy",Better modeled as a school/controversy than independent church.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://en.wikipedia.org/wiki/Origenist_crises,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
novatianism,Novatianism,Christian,Schism,proto-orthodox-great-church-christianity,Normalized alias match: Great Church,Great Church Christianity,Schism from parent,Organized Sect / Church,Character/community primary affiliation,Schismatic rival,Christian monotheism,Exclusive / competitive,Transregional ecclesiastical hierarchy,Exclusive,Exclusive; Rigorist; Purity; Anti-Lapsi,Doctrine suppression; Persecution/proscription; Religious controversy,Primary religion/community state,Ready for event/light content,Tier 3 — Event/sect,251,Novatian schism follows Decian persecution,500,Communities persist for centuries,AD 236–395,N,N,N,Y,Y,N,Rome,Western and eastern Roman cities,Rigorist Christians,Novatian,Urban congregations,Parallel bishops/church hierarchy,Exclusive Christian,High,Well attested,‘Heresy’/orthodoxy is viewpoint-dependent; event text should identify who condemns whom.,Rigorist schismatic church,Schism / rigorist church,New CK3-style expansion,Sect / schism / school,"Persecution aftermath, apostasy forgiveness, rival bishops","A true institutional schism, not merely a doctrine tag.",https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://www.worldhistory.org/Council_of_Chalcedon/,https://en.wikipedia.org/wiki/Novatianism,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
paulianism-paul-of-samosata,Paulianism (Paul of Samosata),Christian,Sect / heterodox movement,proto-orthodox-great-church-christianity,Christian chronology heuristic: Great Church milieu,Adoptionist/monarchian currents,Sect / contested branch of parent,Organized Sect / Church,Character/community primary affiliation,Internal dispute / may be condemned,Christian monotheism,Exclusive / competitive,Transregional ecclesiastical hierarchy,Exclusive,Exclusive; Christological; Monarchian/Adoptionist,Doctrine suppression; Religious controversy,Primary religion/community state,Ready for event/light content,Tier 3 — Event/sect,260,Paul of Samosata bishop of Antioch AD 260–268,350,Influence continues after deposition,AD 236–395,N,N,N,N,N,N,Antioch,Syria and some eastern communities,Followers of Paul of Samosata,Paul of Samosata,Antioch,Episcopal/factional networks,Exclusive Christian,High,Well attested,‘Heresy’ is a viewpoint-dependent gameplay label; preserve who condemned whom in event text.,Christological school,Heresy / theological school,New CK3-style expansion,Sect / schism / school,"Antioch politics, imperial/church deposition","Distinct from medieval Paulicians, which are outside the game window.",https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://www.worldhistory.org/Council_of_Chalcedon/,https://en.wikipedia.org/wiki/Paul_of_Samosata,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
melitian-schism-egypt,Melitian Schism (Egypt),Christian,Schism,nicene-christianity,Normalized alias match: Nicene Christianity,Great Church / Nicene Christianity,Schism from parent,Organized Sect / Church,Character/community primary affiliation,Schismatic rival,Christian monotheism,Exclusive / competitive,Transregional ecclesiastical hierarchy,,Rigorist; Anti-Lapsed-Clergy; Episcopal; Schismatic,Persecution/proscription; Religious controversy,Primary religion/community state,Ready for event/light content,Tier 3 — Event/sect,305,Arises during the Diocletian persecution,450,Fades after more than a century of separate organization,AD 236–395,N,N,N,Y,N,N,Egypt,Upper and Lower Egypt,Egyptian Christians,Melitius of Lycopolis; Peter of Alexandria; Athanasius,Lycopolis; Alexandria; Egyptian bishoprics,Parallel episcopal network,Exclusive Christian church,High,Well attested,‘Heresy’/orthodoxy is viewpoint-dependent; event text should identify who condemns whom.,Ecclesiastical schism / rigorist movement,Schism / rival church,New CK3-style expansion,Sect / schism / school,"Persecution aftermath, rival bishops, clerical legitimacy",Distinct from the later Meletian schism of Antioch; arose over treatment of lapsed Christians and unauthorized ordinations.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://ccdl.claremont.edu/digital/collection/cce/id/1305/,https://www.ccel.org/ccel/schaff/encyc07/htm/ii.ix.lxxxv.htm,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
donatism,Donatism,Christian,Schism,nicene-christianity,Normalized alias match: North African Latin Christianity,North African Latin Christianity,Schism from parent,Organized Sect / Church,Character/community primary affiliation,Schismatic rival,Christian monotheism,Exclusive / competitive,Transregional ecclesiastical hierarchy,Exclusive,Exclusive; Rigorist; Anti-Traditor; Regionalist,Doctrine suppression; Religious controversy,Primary religion/community state,Ready for event/light content,Tier 3 — Event/sect,311,Schism forms after Diocletianic persecution,550,Declines under imperial repression and Vandal/Byzantine changes; remnants persist,AD 236–395,N,N,N,Y,Y,N,Roman North Africa,"Africa Proconsularis, Numidia",North African Christians,Donatus and regional bishops,Carthage and North African sees,Parallel episcopal hierarchy,Exclusive Christian,High,Well attested,‘Heresy’/orthodoxy is viewpoint-dependent; event text should identify who condemns whom.,Rigorist regional schismatic church,Schism / rival church,Late-timeline extension,Sect / schism / school,"North African politics, rural support, imperial repression",Essential for any 4th–5th c. North Africa start.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://www.worldhistory.org/Council_of_Chalcedon/,https://en.wikipedia.org/wiki/Donatism,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
arianism,Arianism,Christian,Sect / heterodox movement,proto-orthodox-great-church-christianity,Christian chronology heuristic: Great Church milieu,Early 4th-c. eastern Christian theology,Sect / contested branch of parent,Organized Sect / Church,Character/community primary affiliation,Internal dispute / may be condemned,Christian monotheism,Exclusive / competitive,Transregional ecclesiastical hierarchy,Exclusive,Exclusive; Missionary; Christological; Imperial-Contested,Doctrine suppression; Mission/conversion; Religious controversy,Primary religion/community state,Caution — optional/contested,Tier 3 — Event/sect,318,Arius controversy c. AD 318–325,600,Persists beyond AD 565 among some Germanic kingdoms,AD 236–395,N,N,N,Y,Y,Y,Alexandria,Roman Empire; later Gothic/Vandal/Lombard kingdoms,Arian/Nicene-alternative Christians,Arius and later theologians,Alexandria; imperial courts; Germanic kingdoms,Bishops + imperial patrons depending regime,Exclusive Christian,High,Contested,Broad/legacy label; fifth–sixth-century Germanic churches are often better described as Homoian.,Trinitarian/Christological movement,Heresy / rival imperial theology,Late-timeline extension,Sect / schism / school,"Court religion, councils, Germanic conversion, civil conflict",Use “Arianism” as umbrella; Homoian/Anomoean rows refine it.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://www.worldhistory.org/Council_of_Chalcedon/,https://en.wikipedia.org/wiki/Arianism,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
nicene-christianity,Nicene Christianity,Christian,Religion / base tradition,proto-orthodox-great-church-christianity,Explicit alias match,Proto-Orthodox / Great Church,Related tradition,Full Faith,Household/community primary religion,Competing-exclusive,Christian monotheism,Exclusive / competitive,Transregional ecclesiastical hierarchy,Exclusive; State-Sponsored,Exclusive; State-Sponsored; Missionary; Episcopal; Creedal,Priesthood; Doctrine suppression; Mission/conversion,Primary religion/community state,Ready for content design,Tier 1 — Core,325,Council of Nicaea AD 325,451,Develops into Chalcedonian and non-Chalcedonian branches after 451,AD 236–395,N,N,N,Y,N,N,Nicaea / imperial church,Roman Empire,Nicene Christians,"Nicene bishops; Constantine as convener, not theologian head",Rome; Constantinople; Alexandria; Antioch; Jerusalem,Imperial-backed episcopal network; patriarchal sees,Exclusive Christian,High,Well attested,,Imperial creedal Christianity,Orthodox claimant / state faith,Late-timeline extension,Religion / branch,"State patronage, councils, bishop appointments, heresy law",Becomes official imperial norm under Theodosius I in late 4th c.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://www.worldhistory.org/Council_of_Chalcedon/,https://www.worldhistory.org/Roman_Imperial_Cult/,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
aksumite-christianity,Aksumite Christianity,Christian,Regional branch,early-christianity-jesus-movement,Normalized alias match: Early Christianity,Early Christianity,Regional expression / daughter tradition,Regional Faith,Household/community primary religion in supported regions,Competing-exclusive,Christian monotheism,Exclusive / competitive,Transregional ecclesiastical hierarchy,Exclusive; State-Sponsored,Exclusive; State-Sponsored; Episcopal; Missionary,Priesthood; Doctrine suppression; Mission/conversion,Primary religion/community state,Ready for content design,Tier 2 — Major regional,330,Royal conversion of Aksum traditionally associated with Ezana in 4th c.,,Persists beyond AD 565,AD 236–395,N,N,N,Y,Y,Y,Aksum / Ethiopia-Eritrea,Aksumite kingdom and Red Sea sphere,Aksumite Christians,Ezana; Frumentius; Alexandrian ecclesiastical ties,Aksum and regional churches,Royal church linked to Alexandrian hierarchy,Exclusive Christian,High,Well attested,,Regional royal church,Regional church,Late-timeline extension,Religion / branch,"Red Sea diplomacy, conversion, Byzantine/Persian alignment",Needed for late-game Red Sea/Arabia content.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-about.md,https://en.wikipedia.org/wiki/Christianity_in_Ethiopia,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
georgian-iberian-christianity,Georgian / Iberian Christianity,Christian,Regional branch,nicene-christianity,Normalized alias match: Eastern Christianity,Nicene / eastern Christianity,Regional expression / daughter tradition,Regional Faith,Household/community primary religion in supported regions,Competing-exclusive,Christian monotheism,Exclusive / competitive,Transregional ecclesiastical hierarchy,Exclusive,Exclusive; Missionary; Episcopal; Scriptural,Doctrine suppression; Mission/conversion,Primary religion/community state,Ready for content design,Tier 2 — Major regional,330,Royal conversion traditionally associated with Nino in the fourth century; Christianity present earlier,,Continues beyond AD 565,AD 236–395,N,N,N,Y,Y,Y,Caucasian Iberia / Kartli,Georgia / Caucasian Iberia,Georgian/Kartvelian Christians,Nino; Georgian kings and bishops,Mtskheta and early Georgian church centers,Royal-backed bishops and local church,Exclusive,High,Well attested,,Regional apostolic church,Regional branch,Caucasus diplomacy; Armenian/Persian/Roman religious competition; literacy and translation,Religion / branch,A direct missing counterpart to Armenian Christianity for the Caucasian frontier.,https://www.cambridge.org/core/books/abs/new-cambridge-history-of-the-bible/bible-in-georgian/E769D3A2BD68C8767143F2DA7182204C,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-cultures-of-the-known-world-design.md,https://www.cambridge.org/core/books/abs/cambridge-history-of-christianity/beyond-empire-i-eastern-christianities-from-the-persian-to-the-turkish-conquest-6041071/D1B53B74FE3F7C16DA22176E1AFB4E31,,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
audianism,Audianism,Christian,Sect / heterodox movement,nicene-christianity,Normalized alias match: Nicene Christianity,Early/Nicene Christianity,Sect / contested branch of parent,Minor Sect / Event,Character/event affiliation; not default map faith,Internal dispute / may be condemned,Christian monotheism,Exclusive / competitive,Teacher / sect network,,Anthropomorphic-Theology; Quartodeciman; Ascetic-coded,Sacred calendar; Religious controversy,Character/event doctrine layer,Ready for event/light content,Tier 3 — Event/sect,340,4th-century movement associated with Audius,450,Declines as a distinct movement,AD 236–395,N,N,N,Y,N,N,Syria,"Syria, Mesopotamia, Scythian/Pontic zones",Audian Christian communities,Audius / Audaeus,Syrian and frontier communities,Founder-led sect and local communities,Exclusive Christian sect,Medium,Moderately attested,‘Heresy’ is a viewpoint-dependent gameplay label; preserve who condemned whom in event text.,Christian sect,Heresy / sect,New CK3-style expansion,Sect / schism / school,"Frontier Christianity, calendar conflict, anthropomorphism controversy",Known largely from opponents; useful as a small event-driven heterodox movement rather than a major territorial faith.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://en.wikipedia.org/wiki/Audianism,,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
circumcellion-movement,Circumcellion Movement,Christian,Sect / heterodox movement,nicene-christianity,Christian chronology heuristic: post-Nicaea default,Donatism,Sect / contested branch of parent,Minor Sect / Event,Character/event affiliation; not default map faith,Internal dispute / may be condemned,Christian monotheism,Exclusive / competitive,Diffuse / decentralized,Exclusive,Exclusive; Rigorist; Militant; Martyrdom-coded,Doctrine suppression; Religious controversy,Character/event doctrine layer,Ready for event/light content,Tier 3 — Event/sect,340,Movement becomes visible in fourth-century North Africa,430,"Declines with suppression, Vandal conquest and transformation of Donatism",AD 236–395,N,N,N,Y,N,N,North Africa,Numidia and rural Roman Africa,Rural North African Christians associated with Donatism,Circumcellion bands; Donatist clergy relationships vary by source,Rural North African communities,Loose bands interacting with Donatist networks,Exclusive,Medium,Moderately attested,‘Heresy’/orthodoxy is viewpoint-dependent; event text should identify who condemns whom.,Radical Donatist social-religious movement,Sect / militant movement,Rural unrest; religious violence; class tension; anti-state conflict,Sect / schism / school,Should be event/faction content rather than a clean map faith; ancient hostile sources heavily shape the picture.,https://www.cambridge.org/core/books/abs/cambridge-companion-to-the-age-of-augustine/donatists/0E1A9E1926AA1BBAC2C687F7236B63DD,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-cultures-of-the-known-world-design.md,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
anomoeanism-eunomianism,Anomoeanism / Eunomianism,Christian,Sect / heterodox movement,arianism,Normalized alias match: Arian controversy,Arian controversy,Sect / contested branch of parent,Minor Sect / Event,Character/event affiliation; not default map faith,Internal dispute / may be condemned,Christian monotheism,Exclusive / competitive,Teacher / sect network,Exclusive,Exclusive; Christological; Rationalist-coded,Doctrine suppression; Religious controversy,Character/event doctrine layer,Ready for event/light content,Tier 3 — Event/sect,350,Mid-4th c. AD,420,Declines under anti-heretical legislation,AD 236–395,N,N,N,Y,N,N,Eastern Roman Empire,Anatolia and eastern cities,Anomoean Christians,"Aetius, Eunomius",Eastern urban centers,Teacher/bishop networks,Exclusive Christian,High,Well attested,‘Heresy’ is a viewpoint-dependent gameplay label; preserve who condemned whom in event text.,Radical non-Nicene theological school,Heresy / theological school,Late-timeline extension,Sect / schism / school,"Radical doctrinal factions, councils, exile",A sharper theological branch inside the broader Arian controversy.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://www.worldhistory.org/Council_of_Chalcedon/,https://en.wikipedia.org/wiki/Anomoeanism,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
